,timestep,iteration_0_avg_dist_timestep,iteration_0_avg_velo_timestep,timestep,iteration_1_avg_dist_timestep,iteration_1_avg_velo_timestep,timestep,iteration_2_avg_dist_timestep,iteration_2_avg_velo_timestep,timestep,iteration_3_avg_dist_timestep,iteration_3_avg_velo_timestep,timestep,iteration_4_avg_dist_timestep,iteration_4_avg_velo_timestep,timestep,iteration_5_avg_dist_timestep,iteration_5_avg_velo_timestep,timestep,iteration_6_avg_dist_timestep,iteration_6_avg_velo_timestep,timestep,iteration_7_avg_dist_timestep,iteration_7_avg_velo_timestep,timestep,iteration_8_avg_dist_timestep,iteration_8_avg_velo_timestep,timestep,iteration_9_avg_dist_timestep,iteration_9_avg_velo_timestep
10,200.0,37.376819568620796,0.08546153427401405,200.0,36.868646489140076,0.0864585881394387,200.0,37.61694151519617,0.0831911138753654,200.0,37.124002194124415,0.0801464348644248,200.0,37.692213424334945,0.08624893877392277,200.0,37.887369994604576,0.08431217318535132,200.0,38.33215624272238,0.08922659923719223,200.0,38.46312728664908,0.09205015605005082,200.0,36.976178184276876,0.07793308590378317,200.0,37.70975337131009,0.085723202315949
11,220.0,36.305833883962976,0.080189431507345,220.0,35.75473435663442,0.08028832340351592,220.0,36.42445051904021,0.0782358670532054,220.0,35.99179348644774,0.07909790004521806,220.0,36.64130337283656,0.08251618616988676,220.0,36.82168361124631,0.07987263426341885,220.0,37.32844019679475,0.08703603320748936,220.0,37.46134283507738,0.08919895242622966,220.0,35.90288390181674,0.07360909451893093,220.0,36.61981247323623,0.08065750295869031
12,240.0,35.17808543031452,0.07681008092749353,240.0,34.663519009160225,0.07636744930767614,240.0,35.41607154023165,0.07620166719103862,240.0,34.955610486148416,0.07417034271453764,240.0,35.5137173805569,0.07888535011170057,240.0,35.718451176351174,0.07447469623316,240.0,36.28625654211049,0.0819015338892688,240.0,36.47667717960375,0.08295281303400079,240.0,34.819022098682986,0.0697718389993015,240.0,35.51283574263669,0.07579483328866313
13,260.0,34.19866042163749,0.07515602147016094,260.0,33.69682794170608,0.06952381688508803,260.0,34.468898452329256,0.07368225438787206,260.0,33.91612175598484,0.06870885898481015,260.0,34.52459408488208,0.07179465902297033,260.0,34.679220323504616,0.0714017115836064,260.0,35.20717019921419,0.07884130957277218,260.0,35.400169460778066,0.07485954366693263,260.0,33.853585255598325,0.06531227897080484,260.0,34.579725677363506,0.07192380100531383
14,280.0,33.244921213113024,0.07328341976471223,280.0,32.7544763422276,0.06637644600536939,280.0,33.56938357674652,0.07079936534376724,280.0,32.95022795765154,0.06579638836260139,280.0,33.517540347027335,0.06668468869687122,280.0,33.69588810632265,0.06712788907694843,280.0,34.27664996112181,0.07593240328673938,280.0,34.47701336701987,0.07052569411216418,280.0,32.94203248722367,0.06098991902361299,280.0,33.59385382115378,0.06874820040938275
15,300.0,32.249378970043345,0.06624943935007101,300.0,31.93306177668796,0.061521084652481364,300.0,32.67208490517778,0.06465668371455853,300.0,32.07220178590979,0.06413134714003314,300.0,32.60192357908376,0.0649018563825781,300.0,32.80726978082504,0.06451350301283137,300.0,33.35402238785164,0.07172065503291843,300.0,33.5176380487047,0.06754393672473062,300.0,32.07908836781589,0.057388034399302665,300.0,32.70712003435179,0.06691239743979624
16,320.0,31.345823021383957,0.059866220395587755,320.0,31.19342346823328,0.06161201771151143,320.0,31.887792818183325,0.062113878483237676,320.0,31.271449982057902,0.06285521077189356,320.0,31.786049424373157,0.06205144119663218,320.0,32.08270256462507,0.06268251237595805,320.0,32.41786581695838,0.06686409592057721,320.0,32.699308198969156,0.06538731809157487,320.0,31.26698956096737,0.053109599006376275,320.0,31.848693141429884,0.06202355933474702
17,340.0,30.46565483632242,0.0558199901957615,340.0,30.48119179778815,0.05825172905620313,340.0,31.12938650543649,0.057577863045383794,340.0,30.496879426749402,0.05816464517652196,340.0,30.91658884235714,0.05669577330384908,340.0,31.281274465749,0.05740199483313281,340.0,31.59245644428083,0.06385029702363071,340.0,31.873271971785496,0.06389320327232463,340.0,30.406687003056348,0.050311533798210795,340.0,31.071212065895523,0.05937665146388312
18,360.0,29.692897180549014,0.05405381687185824,360.0,29.70729020049151,0.05338660586179641,360.0,30.395328105563078,0.05402763761502212,360.0,29.692936231490524,0.05336936225814273,360.0,30.200247307143382,0.052898847504978475,360.0,30.57137111425953,0.055802465614598916,360.0,30.765134910945278,0.058884192577766684,360.0,31.00148441542173,0.05846763133987395,360.0,29.698167813435404,0.04656713386213668,360.0,30.3500954757317,0.05486151009086235
19,380.0,29.045497206457846,0.05296210310347215,380.0,29.075488086174975,0.05119592185851082,380.0,29.66614335755289,0.04993741386021326,380.0,29.035338145024337,0.04877895040459887,380.0,29.495962388775006,0.048928195571576245,380.0,29.79571524567114,0.05287015132261447,380.0,30.02108376165979,0.05781478915312744,380.0,30.215184484482723,0.05461413669663343,380.0,29.040495330909838,0.04377204751484546,380.0,29.611585402735894,0.05000984815886724
20,400.0,28.492288701469665,0.050502383909915995,400.0,28.38418019211721,0.0472789672557721,400.0,28.981554204053715,0.04724930317120804,400.0,28.45589488538316,0.047548646097563124,400.0,28.992624820148023,0.04838841938167547,400.0,29.177316587144045,0.050714249521772226,400.0,29.300768270969197,0.05392138632233612,400.0,29.522327700577172,0.05327428148399931,400.0,28.49877287828986,0.04230328001901606,400.0,28.933202891747687,0.04792067409557437
21,420.0,27.84957227051856,0.04380401137635306,420.0,27.82713496992795,0.042851530664420184,420.0,28.390425891083016,0.0444928319327986,420.0,27.870162216526364,0.04574307342714559,420.0,28.41515785447186,0.046880007315764215,420.0,28.581895247848802,0.04946972384291248,420.0,28.658173843476845,0.04866324630020513,420.0,28.944262823735613,0.05210547446000093,420.0,27.935617988755155,0.03924013190595516,420.0,28.276749220228098,0.04362593537853211
22,440.0,27.317972413823504,0.03956167277734042,440.0,27.36311157198518,0.04112050582141713,440.0,27.877694902044038,0.040728046912358304,440.0,27.337884819751284,0.0413899623081808,440.0,27.867806276838742,0.044607880871156025,440.0,28.01266629568349,0.045426881972015186,440.0,28.09889184493372,0.04766613653782874,440.0,28.36848848977946,0.049739140429440366,440.0,27.34536975155058,0.036167278026933376,440.0,27.718598310521973,0.04260928853225312
